,number_pca_components_class
0,1
1,4
2,4
3,6
4,8
5,8
6,5
7,5
8,2
9,3
10,6
11,7
12,3
13,3
14,1
15,2
16,8
17,5
18,1
19,1
20,5
21,5
22,6
23,5
24,6
25,3
26,2
27,8
28,6
29,5
30,2
31,6
32,6
33,2
34,4
35,4
36,6
37,2
38,2
39,7
40,7
41,7
42,5
43,1
44,5
45,6
46,3
47,8
48,6
49,6
50,5
51,4
52,3
53,5
54,5
55,6
56,7
57,2
58,1
59,4
60,2
61,4
62,5
63,2
64,1
65,7
66,4
67,1
68,5
69,6
70,8
71,2
72,8
73,2
74,4
75,6
76,6
77,2
78,4
79,7
80,6
81,7
82,2
83,5
84,8
85,7
86,5
87,2
88,5
89,6
90,7
91,4
92,5
93,2
94,5
95,3
96,3
97,8
98,4
99,6
100,6
101,2
102,3
103,4
104,4
105,2
106,4
107,3
108,4
109,6
110,8
111,4
112,3
113,6
114,6
115,5
116,7
117,4
118,6
119,6
120,5
121,1
122,5
123,8
124,4
125,3
126,5
127,5
128,5
129,8
130,4
131,4
132,7
133,5
134,6
135,3
136,5
137,4
138,6
139,4
140,5
141,5
142,5
143,7
144,5
145,5
146,3
147,7
148,4
149,7
150,7
151,4
152,4
153,7
154,6
155,3
156,6
157,4
158,6
159,3
160,3
161,5
162,5
163,1
164,7
165,6
166,4
167,1
168,5
169,7
170,1
171,1
172,3
173,7
174,5
175,1
176,5
177,4
178,3
179,1
180,7
181,7
182,2
183,2
184,6
185,4
186,1
187,4
188,6
189,4
190,4
191,7
192,6
193,1
194,4
195,4
196,2
197,5
198,5
199,7
