,number_pca_components_class
0,5
1,7
2,8
3,8
4,7
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,7
13,5
14,7
15,8
16,8
17,7
18,6
19,7
20,8
21,7
22,6
23,5
24,7
25,7
26,8
27,8
28,8
29,8
30,8
31,7
32,7
33,8
34,8
35,8
36,6
37,7
38,7
39,7
40,8
41,8
42,7
43,7
44,7
45,6
46,7
47,8
48,8
49,8
50,8
51,7
52,8
53,8
54,8
55,8
56,8
57,8
58,8
59,8
60,7
61,7
62,7
63,7
64,8
65,7
66,7
67,8
68,7
69,8
70,6
71,6
72,7
73,8
74,7
75,7
76,8
77,7
78,7
79,8
80,7
81,6
82,7
83,6
84,7
85,7
86,7
87,7
88,8
89,8
90,6
91,8
92,8
93,7
94,6
95,7
96,7
97,8
98,7
99,8
100,7
101,6
102,8
103,7
104,8
105,7
106,7
107,7
108,7
109,7
110,7
111,7
112,6
113,7
114,8
115,7
116,6
117,7
118,7
119,7
120,7
121,7
122,8
123,7
124,5
125,7
126,7
127,8
128,7
129,8
130,7
131,7
132,7
133,6
134,7
135,7
136,7
137,7
138,7
139,8
140,7
141,7
142,7
143,7
144,8
145,7
146,7
147,7
148,6
149,7
150,7
151,8
152,8
153,7
154,6
155,7
156,7
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,7
165,7
166,5
167,7
168,8
169,7
170,7
171,8
172,7
173,6
174,7
175,7
176,6
177,7
178,7
179,7
180,7
181,7
182,7
183,7
184,5
185,7
186,5
187,5
188,6
189,6
190,7
191,5
192,6
193,7
194,5
195,7
196,7
197,6
198,5
199,7
