,number_pca_components_class
0,4
1,5
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,5
15,4
16,5
17,4
18,4
19,4
20,4
21,3
22,5
23,4
24,4
25,4
26,5
27,3
28,4
29,3
30,4
31,4
32,4
33,3
34,4
35,4
36,4
37,4
38,5
39,5
40,4
41,3
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,3
52,5
53,4
54,4
55,4
56,4
57,3
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,3
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,3
83,5
84,4
85,4
86,3
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,3
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,3
121,4
122,5
123,4
124,4
125,3
126,4
127,3
128,4
129,4
130,5
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,3
148,4
149,4
150,3
151,4
152,4
153,4
154,4
155,4
156,3
157,4
158,4
159,4
160,3
161,5
162,4
163,4
164,4
165,4
166,4
167,4
168,4
169,5
170,4
171,4
172,5
173,4
174,4
175,4
176,4
177,4
178,4
179,4
180,3
181,4
182,4
183,4
184,4
185,4
186,5
187,4
188,5
189,4
190,4
191,4
192,4
193,4
194,5
195,4
196,5
197,4
198,5
199,4
