,number_pca_components_class
0,9
1,9
2,9
3,9
4,9
5,10
6,10
7,10
8,9
9,10
10,9
11,10
12,9
13,9
14,10
15,10
16,10
17,10
18,10
19,10
20,9
21,10
22,9
23,9
24,10
25,11
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,9
37,10
38,10
39,9
40,9
41,10
42,9
43,9
44,9
45,9
46,10
47,11
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,9
61,10
62,10
63,10
64,10
65,10
66,10
67,11
68,10
69,10
70,10
71,10
72,10
73,10
74,10
75,9
76,10
77,10
78,10
79,10
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,9
89,10
90,10
91,10
92,10
93,9
94,9
95,9
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,9
108,9
109,10
110,10
111,9
112,9
113,10
114,10
115,9
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,10
125,10
126,9
127,10
128,9
129,10
130,10
131,10
132,10
133,9
134,10
135,10
136,10
137,10
138,10
139,9
140,10
141,10
142,10
143,10
144,10
145,9
146,9
147,10
148,10
149,10
150,10
151,10
152,9
153,9
154,9
155,10
156,10
157,9
158,11
159,10
160,11
161,10
162,10
163,10
164,9
165,10
166,9
167,9
168,10
169,10
170,10
171,10
172,10
173,9
174,10
175,10
176,10
177,10
178,10
179,10
180,10
181,10
182,10
183,10
184,10
185,10
186,10
187,9
188,10
189,10
190,11
191,10
192,10
193,10
194,9
195,10
196,10
197,9
198,9
199,9
