,number_pca_components_class
0,10
1,10
2,10
3,10
4,10
5,10
6,11
7,10
8,10
9,10
10,9
11,10
12,10
13,9
14,11
15,11
16,10
17,11
18,11
19,10
20,10
21,10
22,10
23,9
24,11
25,11
26,11
27,11
28,10
29,11
30,11
31,11
32,11
33,10
34,11
35,11
36,10
37,10
38,10
39,9
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,11
48,11
49,11
50,11
51,11
52,10
53,11
54,11
55,10
56,11
57,11
58,11
59,11
60,10
61,11
62,11
63,11
64,11
65,10
66,11
67,11
68,10
69,11
70,10
71,10
72,11
73,11
74,10
75,11
76,11
77,11
78,11
79,11
80,11
81,10
82,11
83,11
84,10
85,11
86,11
87,11
88,10
89,11
90,10
91,11
92,11
93,11
94,10
95,10
96,11
97,10
98,11
99,11
100,11
101,10
102,11
103,11
104,11
105,10
106,11
107,10
108,10
109,10
110,11
111,9
112,10
113,11
114,10
115,10
116,11
117,11
118,10
119,10
120,11
121,11
122,11
123,11
124,10
125,10
126,10
127,11
128,10
129,11
130,11
131,10
132,11
133,10
134,11
135,10
136,11
137,11
138,10
139,10
140,10
141,11
142,10
143,10
144,10
145,10
146,10
147,11
148,10
149,11
150,11
151,11
152,10
153,10
154,10
155,11
156,11
157,10
158,11
159,10
160,11
161,11
162,11
163,10
164,10
165,10
166,10
167,11
168,11
169,11
170,11
171,11
172,11
173,10
174,11
175,11
176,10
177,11
178,10
179,11
180,10
181,11
182,11
183,10
184,10
185,11
186,10
187,9
188,10
189,10
190,11
191,10
192,10
193,10
194,11
195,11
196,10
197,10
198,10
199,10
